experiment_id,game_id,model_family,persuasion_mode,player_count,warning,total_turns,day_turns,night_turns,vote_turns,distinct_speakers,werewolf_turns,werewolf_turn_share,avg_utterance_words,avg_utterance_chars,median_utterance_words,vote_top_count,vote_concentration,vote_tie
gpt5_nano:baseline:baseline-100-1,GeneratedGame1,gpt5_nano,baseline,5,False,26,20,1,5,5,13,0.5,57.8846,325.0385,68.0,4,0.2353,True
gpt5_nano:baseline:baseline-100-1,GeneratedGame2,gpt5_nano,baseline,5,True,26,20,1,5,5,10,0.38461538461538464,62.5385,349,71.5,5,0.2381,True
gpt5_nano:baseline:baseline-100-1,GeneratedGame3,gpt5_nano,baseline,5,False,26,20,1,5,5,1,0.038461538461538464,72.0769,383.6154,83.5,3,0.3333,False
gpt5_nano:baseline:baseline-100-1,GeneratedGame4,gpt5_nano,baseline,5,False,26,20,1,5,5,1,0.038461538461538464,70.5,391.3846,87.5,3,0.25,True
gpt5_nano:baseline:baseline-100-1,GeneratedGame5,gpt5_nano,baseline,5,False,26,20,1,5,5,1,0.038461538461538464,55.5769,313.1538,57.5,5,0.3846,True
gpt5_nano:baseline:baseline-100-1,GeneratedGame6,gpt5_nano,baseline,5,False,25,20,0,5,5,14,0.56,65.8,381.88,66,4,0.2857,True
gpt5_nano:baseline:baseline-100-1,GeneratedGame7,gpt5_nano,baseline,5,False,26,20,1,5,5,10,0.38461538461538464,69.1923,393.9231,77.5,3,0.2143,True
gpt5_nano:baseline:baseline-100-1,GeneratedGame8,gpt5_nano,baseline,5,False,25,20,0,5,5,10,0.4,55.48,327.8,64,5,0.3125,False
gpt5_nano:baseline:baseline-100-1,GeneratedGame9,gpt5_nano,baseline,5,False,26,20,1,5,5,9,0.34615384615384615,69.8462,420.1154,81.0,4,0.2353,True
gpt5_nano:baseline:baseline-100-1,GeneratedGame10,gpt5_nano,baseline,5,False,25,20,0,5,5,11,0.44,84.12,461.24,100,5,0.2381,True
gpt5_nano:baseline:baseline-100-1,GeneratedGame11,gpt5_nano,baseline,5,False,26,20,1,5,5,9,0.34615384615384615,64.1538,358.1538,68.0,5,0.2632,True
gpt5_nano:baseline:baseline-100-1,GeneratedGame12,gpt5_nano,baseline,5,False,26,20,1,5,5,10,0.38461538461538464,62.9231,349.3846,71.0,4,0.2353,True
gpt5_nano:baseline:baseline-100-1,GeneratedGame13,gpt5_nano,baseline,5,False,26,20,1,5,5,2,0.07692307692307693,70.3846,404.3846,82.5,5,0.2941,True
gpt5_nano:baseline:baseline-100-1,GeneratedGame14,gpt5_nano,baseline,5,False,26,20,1,5,5,11,0.4230769230769231,61,326.3846,66.0,2,0.2857,True
gpt5_nano:baseline:baseline-100-1,GeneratedGame15,gpt5_nano,baseline,5,False,26,20,1,5,5,2,0.07692307692307693,87.0769,481.5385,103.0,5,0.2632,True
gpt5_nano:baseline:baseline-100-1,GeneratedGame16,gpt5_nano,baseline,5,False,26,20,1,5,5,0,0.0,63.3462,363.8462,72.5,3,0.4286,False
gpt5_nano:baseline:baseline-100-1,GeneratedGame17,gpt5_nano,baseline,5,False,26,20,1,5,5,12,0.46153846153846156,64.6538,381.6154,67.0,5,0.2632,False
gpt5_nano:baseline:baseline-100-1,GeneratedGame18,gpt5_nano,baseline,5,False,25,20,0,5,5,3,0.12,63.64,355.2,75,4,0.25,True
gpt5_nano:baseline:baseline-100-1,GeneratedGame19,gpt5_nano,baseline,5,False,25,20,0,5,5,13,0.52,66.6,377.64,79,5,0.3333,False
gpt5_nano:baseline:baseline-100-1,GeneratedGame20,gpt5_nano,baseline,5,True,26,20,1,5,5,1,0.038461538461538464,84.2308,470.8846,101.5,4,0.2857,False
gpt5_nano:baseline:baseline-100-1,GeneratedGame21,gpt5_nano,baseline,5,False,26,20,1,5,5,11,0.4230769230769231,73.4615,406.2692,79.5,3,0.2727,True
gpt5_nano:baseline:baseline-100-1,GeneratedGame22,gpt5_nano,baseline,5,False,26,20,1,5,5,11,0.4230769230769231,76.2308,418.4231,91.5,4,0.3077,False
gpt5_nano:baseline:baseline-100-1,GeneratedGame23,gpt5_nano,baseline,5,False,26,20,1,5,5,0,0.0,59.0769,331.7308,62.0,5,0.2273,True
gpt5_nano:baseline:baseline-100-1,GeneratedGame24,gpt5_nano,baseline,5,False,26,20,1,5,5,1,0.038461538461538464,75.3462,414.3077,90.5,5,0.2381,True
gpt5_nano:baseline:baseline-100-1,GeneratedGame25,gpt5_nano,baseline,5,False,25,20,0,5,5,11,0.44,81.8,451.88,93,5,0.5,False
gpt5_nano:baseline:baseline-100-1,GeneratedGame26,gpt5_nano,baseline,5,False,25,20,0,5,5,10,0.4,69.08,400.08,69,4,0.25,False
